id;parent;date;screen_name;followers;location;country
124256353;124256806;27/11/15 00:08;Comunikando;265;Globalizar la humanidad;es
124256352;124256806;27/11/15 00:13;tabascoafro;27;Santo Domingo;es
124256351;124256806;27/11/15 00:16;ochoto;707;Spain;es
124256350;124256806;27/11/15 00:16;Inmapaleo;429;Nunca Mais;es
124256349;124256806;27/11/15 00:22;PodemosMostoles;3989;M—stoles;es
124256348;124256806;27/11/15 00:30;RobertoVegaRam2;28;not public;es
124083515;124049032;26/11/15 19:54;VandalViking;139;Al-çndalus;es
124173783;124083515;26/11/15 22:05;abebais;368;Madrid;es
124094391;124095698;26/11/15 20:18;RamirezCesc;12;not public;es
124256721;124094391;26/11/15 22:49;jesusferrergarc;4;not public;es
124329096;;26/11/15 21:26;HernandoIrene;754;not public;es
124145241;;26/11/15 21:22;ierrejon;272006;Con un oc_ano atravesado;es
124234194;124145241;26/11/15 23:28;desmanipulemos;227;La Luna;es
124234193;124145241;26/11/15 23:29;masanca41;37;not public;es
124234192;124145241;26/11/15 23:30;VIOLETAMARCUGNO;730;VIGO-GALICIA;es
124234191;124145241;26/11/15 23:32;maximors63;2553;Las Palmas de Gran Canaria;es
124234190;124145241;26/11/15 23:36;crg1212;467;not public;es
124351472;124145241;26/11/15 23:38;jjelburgo;228;Andalucia;es
124351564;124145241;26/11/15 23:40;genial63;10;not public;es
124351471;124145241;26/11/15 23:42;196193Jose;835;ALCOI (ALACANT);es
124351470;124145241;26/11/15 23:45;OS_IN;93;Madrid;es
124351562;124145241;26/11/15 23:45;196193Jose;835;ALCOI (ALACANT);es
124351562;124145241;26/11/15 23:45;196193Jose;835;ALCOI (ALACANT);es
124351469;124145241;26/11/15 23:45;pep_mila;3348;Barcelona;es
124351468;124145241;26/11/15 23:46;ardevaasf;54;not public;es
124351467;124145241;26/11/15 23:47;SC_Deon;248;not public;es
124351466;124145241;26/11/15 23:47;juanpriba;397;not public;es
124351465;124145241;26/11/15 23:48;13ro8;228;not public;es
124351464;124145241;26/11/15 23:49;Manuelvllp;32;not public;es
124351463;124145241;26/11/15 23:58;Azul_Mar_Cielo;2613;Canarias/Pucela/Gij—n/Madrid;es
124351462;124145241;27/11/15 00:00;perfilqueperfil;415;not public;es
124351461;124145241;27/11/15 00:00;indignado36;83;not public;es
124351460;124145241;27/11/15 00:02;siuL105TN;50;not public;es
124351459;124145241;27/11/15 00:03;Guardarecuerdos;217;not public;es
124344019;124145241;27/11/15 00:03;Kikekom;471;not public;es
124351561;124145241;27/11/15 00:04;mlfidalgo13;483;not public;es
124344018;124145241;27/11/15 00:05;FValderasJR;1778;not public;es
124351560;124145241;27/11/15 00:08;_PacoCastillo_;475;Rivas Vaciamadrid - Madrid;es
124326345;124145241;27/11/15 00:10;cruzjosemaria1;2;not public;es
124351559;124145241;27/11/15 00:10;_PacoCastillo_;475;Rivas Vaciamadrid - Madrid;es
124326342;124145241;27/11/15 00:12;maesquella;113;Manlleu;es
124303100;124145241;27/11/15 00:13;22_dur;357;not public;es
124278414;124145241;27/11/15 00:16;Aidatxu13;17;not public;es
124278413;124145241;27/11/15 00:18;diegollh1980;64;not public;es
